artist,id
En mi Defensa,0r82gj6FpgAfTlrjOVDIQB
Nosotros la Miseria,0ZyoYgwM5sNPJxaFqrTJSg
Aspasia,0DX1LunlfYygBjd9lCvryL
Marcel Duchamp,3TClIaKyN8AX8XsttXzvGl
tortuganonima,0jsPe8wkYOMs1yd3zd2aRR
Helices,1eyGv5vUAQZ85vT3rR4t28
La Ciencia Simple,1QBzzMyJtrjIGr3NSKp1A3
Arrecifes,2yjw078KYwrGnRKu9XwuwT
Archipielagos,2PRjdrnN3crdykcsLu1S6d
El Comodo Silencio de los que Hablan Poco,3HrR1EoGCQa4Cl2fv2QyTk
Adelaida,5ugKDsPNjtGyV7WxD7nTYS
Juez Delinea,3arz1ytkgAJzO17EPcezZD
Loconozco,0bmJncLvtWlA06wwOtNjgp
Ninas nino,3lfgPkFVpfjAwBEJWO6EF4
The Antartica Project,4DDrHTmwLmDFgv8CoobPjr
Egregor,0Lsrmln7HOkfKVuGye7eQh
Hemiola,4fMxOTq3Ysh6l1Fhl2jARz
Aisles,1aHj1tpKsDAUDDOMZXcjQg
Hermano Deporte,2vMzDQSMPLNhMsaCA8m60u
Tinta China,5QIkFTv1UBzV4tIvM87mG8
Fabian Fumeza,4Y5H5UMzt7AkYgPMxTXkfH
Dolorio & Los Tunantes,7IxBVJFOxGG6DSEOejOTn2
Fonosida,6HXJR7OM92v2ncgjL8gVkX
Confio en Tus Amigos,6eeMg2f1msRTEqwKKC1KZ4
Frucola Frappe,4ZLUNtFI5oNh5xiEew8X2v
Ratarro y Los Roedores,2S3SKKq2P73VujkHGyoEgt
Matias Avila,29yxbIzxVyIPcCENpwzSQ5
Silabario,69Z9Rb8JunV1blSuO4Fkbs
Estoy Bien,3L2tBKYsn5RF3NM1NLQEda
Pieza Oscura,0RpeKktGoA9rDzpgcfaxg3
mitimitis,3iEWpEqmO2yLUPIiu7Dv9F
Scott Y Los Pelmazos,3rQpR17vgxFw2RDp7uraei
Medio Hermano,13ZDbyU2yozjd5FxJEGCrb
Todos mis Muertos,3MBhyxjJftjMBMpZEfKOZd
Juan Desordenado,2KAzBjzTRRbCgP5gvssbqB
Columpios al Suelo,3F0CSoPGpHfiKtyEdKOOrQ
Fabian Vargas,79CTFpqlaZs5aApbb5Q6gx
Abelocain,0AmIQ3AoYmB7lIZSGu42Ie
Nando Garcia,1sjAiXfRnlaJk1zNhmHSpf
Fabiancito,3efvk9GjT7Ao0DdTtM3IIh
Ataquemos,3WMtbTa4xgtx9GJ9dPAJ7E
Hazel,6rRH3dKCPZ8L550tadjx1i
Mano Ajena,611eLbdAybrp9seo2dr6eJ
Columpio Olvidado,16jdFRT1ZJUjoJ5lUIfHb1
Laia,1eFDWuVJ8q3nSbmG2MArz5
La Hipocrecia Mato Al Gato,2JawDgk6R97R9UMZJ07IBe
El Arbol De Diego,23Iy8Fdc1EgIKNypg8LGZW
Ignacia Torres,5Y895CVcP35JtinHSXxJmU
Camila Y Silvio,7q4O9IJOztG7Oa2MF4ODlX
Cortejo Tinto,7mmrq9EFI5YoEtWYY9HcSj
Jose Vicentes,1IjFBSOVrbTedyO0yIJg39
Vicente Cifuentes,3b06h05NjiPizwnTeGybfG
Tribu,1pD25RFKqvWhqvsBjJkvQS
Elizabeth Morris,3kJaCi1igGWOKYUVDdJnoi
Adri Stuven,4DXUWdscqbjGNbrGwgxuYn
Francesca Ancarola,6clzHoQL1WN2thmMeOalxc
Ignacio Torres,1Gu7c0oUo1sUlJHMi0RfJ4
Antes de Nacer,1TxWs211DxYPxHvI5bNqfo
Vitami,31UlQ2ue3AUFaSlAzo94Gv
Raiza,55K0wAW2dZtVJI1GcKPpba
CuatroBeats,5VH4yORLdFVHVSqCYAjjoh
Mangore,4eVb95pFemdU9Rn17IQXyh
